Galaxy,FH? (aW/m^2),e_Fha,FH? (aW/m^2),e_Fha,FH? (aW/m^2),e_Fha,Distance (Mpc),e_Dist (Mpc),Distance (m),e_Dist (m),,e_asyFUV,e_asyNUV,log(FUV (W)),log(NUV (W)),e_logFUV,e_logNUV,Misc,,Lum_H? (erg/s),e_LH?,SFR_H? (solmass/yr),e_SFR_H?,Lum_H? (erg/s),e_LH?,SFR_H? (solmass/yr),e_SFR_H?,Lum_H? (erg/s),e_LH?,SFR_H? (solmass/yr),e_SFR_H?,Lum_FUV (erg/s),e_Lum_FUV,SFR_FUV (solmass/yr),e_SFR_FUV,log(SFRFUV/SFRH?),e_log(SFRFUV/SFRH?),log(SFRFUV/SFRH?),e_log(SFRFUV/SFRH?),log(SFRFUV/SFRH?),e_log(SFRFUV/SFRH?),UV Color Proxy??5.59log(FUV?/NUV?),e_UV Color proxy
NGC 3190,5.8,3.2,47,33,,,26.4,1.3,8.15E+23,4.01E+22,,0.02,0.01,34.46,34.94,0.008,0.004,,,4.84E+38,2.71E+32,3.82E-03,2.14E-09,3.92E+39,2.78E+33,3.10E-02,2.20E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.88E+41,5.31E+39,9.52E-03,1.75E-04,3.96E-01,7.80E-04,-5.12E-01,7.80E-04,#DIV/0!,#DIV/0!,4.80E-01,8.94E-03
NGC 3198,15.86,0.46,72.6,6.6,864,24,13.68,0.5,4.22E+23,1.54E+22,,0.01,0.01,36.19,36.09,0.004,0.004,,,3.55E+38,2.79E+31,2.81E-03,2.21E-10,1.63E+39,1.90E+32,1.28E-02,1.50E-09,1.94E+40,1.51318E+33,1.53E-01,1.20E-08,1.55E+43,1.43E+41,5.11E-01,4.71E-03,2.26E+00,2.86E-03,1.60E+00,2.86E-03,5.24E-01,2.86E-03,-1.00E-01,5.66E-03
NGC 3521,,,166,34,5090,170,10.1,2.3,3.12E+23,7.10E+22,,0.01,0.01,35.63,35.76,0.004,0.004,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.03E+39,1.01E+33,1.60E-02,7.99E-09,6.21E+40,2.83768E+34,4.91E-01,2.24E-07,4.27E+42,3.93E+40,1.41E-01,1.30E-03,#DIV/0!,#DIV/0!,9.44E-01,1.50E-03,-5.42E-01,1.50E-03,1.30E-01,5.66E-03
NGC 3621,7.58,0.69,358,13,7850,120,6.55,0.18,2.02E+23,5.55E+21,,0.05,0.04,36.09,36.07,0.02,0.016,,,3.89E+37,4.14E+30,3.07E-04,3.27E-11,1.84E+39,1.21E+32,1.45E-02,9.57E-10,4.03E+40,2.2993E+33,3.18E-01,1.82E-08,1.23E+43,5.67E+41,4.06E-01,1.87E-02,3.12E+00,1.27E-02,1.45E+00,1.27E-02,1.06E-01,1.27E-02,-2.00E-02,2.56E-02
NGC 3627,22.1,2,116,26,3070,100,9.38,0.35,2.89E+23,1.08E+22,,0.01,0.01,35.77,35.9,0.004,0.004,,,2.33E+38,2.73E+31,1.84E-03,2.16E-10,1.22E+39,2.89E+32,9.65E-03,2.28E-09,3.23E+40,2.63214E+33,2.55E-01,2.08E-08,5.89E+42,5.42E+40,1.94E-01,1.79E-03,2.02E+00,1.76E-03,1.30E+00,1.76E-03,-1.19E-01,1.76E-03,1.30E-01,5.66E-03
NGC 4536,80.4,1.5,1227,17,2433,52,14.45,0.27,4.46E+23,8.33E+21,,0.01,0.01,35.97,35.91,0.004,0.004,,,2.01E+39,8.39E+31,1.59E-02,6.63E-10,3.07E+40,1.22E+33,2.42E-01,9.65E-09,6.08E+40,2.61732E+33,4.80E-01,2.07E-08,9.33E+42,8.60E+40,3.08E-01,2.84E-03,1.29E+00,2.22E-03,1.04E-01,2.22E-03,-1.93E-01,2.22E-03,-6.00E-02,5.66E-03
NGC 4559,5.31,0.28,211.5,9.3,4817,91,10.3,2.3,3.18E+23,7.10E+22,,0.01,0.01,36.57,36.47,0.004,0.004,,,6.74E+37,3.03E+31,5.33E-04,2.40E-10,2.69E+39,1.21E+33,2.12E-02,9.52E-09,6.12E+40,2.73377E+34,4.83E-01,2.16E-07,3.72E+43,3.42E+41,1.23E+00,1.13E-02,3.36E+00,4.43E-03,1.76E+00,4.43E-03,4.04E-01,4.43E-03,-1.00E-01,5.66E-03
NGC 4569,116.5,5.4,483,27,764,64,16.5,0.6,5.09E+23,1.85E+22,,0.01,0.01,35.61,35.95,0.004,0.004,,,3.80E+39,3.27E+32,3.00E-02,2.59E-09,1.57E+40,1.44E+33,1.24E-01,1.14E-08,2.49E+40,2.76142E+33,1.97E-01,2.18E-08,4.07E+42,3.75E+40,1.34E-01,1.24E-03,6.52E-01,1.47E-03,3.40E-02,1.47E-03,-1.65E-01,1.47E-03,3.40E-01,5.66E-03
NGC 4625,2.47,0.39,186.7,6.4,634,27,9.2,2.3,2.84E+23,7.10E+22,,0.01,0.01,35.11,35.05,0.004,0.004,Dwarf,,2.50E+37,1.31E+31,1.98E-04,1.04E-10,1.89E+39,9.48E+32,1.49E-02,7.49E-09,6.42E+39,3.2226E+33,5.07E-02,2.55E-08,1.29E+42,1.19E+40,4.25E-02,3.92E-04,2.33E+00,8.25E-04,4.54E-01,8.25E-04,-7.68E-02,8.25E-04,-6.00E-02,5.66E-03
NGC 4631,,,290.9,8.2,11380,160,7.62,0.14,2.35E+23,4.32E+21,,0.01,0.01,36.19,36.13,0.004,0.004,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.02E+39,9.36E+31,1.60E-02,7.40E-10,7.91E+40,3.11118E+33,6.25E-01,2.46E-08,1.55E+43,1.43E+41,5.11E-01,4.71E-03,#DIV/0!,#DIV/0!,1.51E+00,2.86E-03,-8.72E-02,2.86E-03,-6.00E-02,5.66E-03
NGC 4736,19,14,,,9640,350,5.2,0.43,1.60E+23,1.33E+22,,0.01,0.01,35.63,35.59,0.004,0.004,,,6.15E+37,4.64E+31,4.86E-04,3.67E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.12E+40,5.28204E+33,2.46E-01,4.17E-08,4.27E+42,3.93E+40,1.41E-01,1.30E-03,2.46E+00,1.50E-03,#DIV/0!,#DIV/0!,-2.43E-01,1.50E-03,-4.00E-02,5.66E-03
NGC 5055,5.4,1.7,193,18,4840,950,7.8,2.3,2.41E+23,7.10E+22,,0.01,0.01,35.8,35.83,0.004,0.004,,,3.93E+37,2.63E+31,3.11E-04,2.08E-10,1.41E+39,8.39E+32,1.11E-02,6.63E-09,3.52E+40,2.19034E+34,2.78E-01,1.73E-07,6.31E+42,5.81E+40,2.08E-01,1.92E-03,2.83E+00,1.83E-03,1.27E+00,1.83E-03,-1.26E-01,1.83E-03,3.00E-02,5.66E-03
NGC 5713,64.3,1,765.8,8.4,2852,29,29.4,2.3,9.07E+23,7.10E+22,,0.01,0.01,35.95,36.06,0.004,0.004,,,6.65E+39,1.05E+33,5.25E-02,8.26E-09,7.92E+40,1.24E+34,6.26E-01,9.82E-08,2.95E+41,4.62564E+34,2.33E+00,3.65E-07,8.91E+42,8.21E+40,2.94E-01,2.71E-03,7.48E-01,2.17E-03,-3.28E-01,2.17E-03,-8.99E-01,2.17E-03,1.10E-01,5.66E-03
NGC 7331,11.9,3.8,277,48,2160,100,14.52,0.6,4.48E+23,1.85E+22,,0.01,0.01,35.91,36.01,0.004,0.004,,,3.00E+38,9.90E+31,2.37E-03,7.82E-10,6.99E+39,1.34E+33,5.52E-02,1.06E-08,5.45E+40,5.16261E+33,4.31E-01,4.08E-08,8.13E+42,7.49E+40,2.68E-01,2.47E-03,2.05E+00,2.07E-03,6.86E-01,2.07E-03,-2.06E-01,2.07E-03,1.00E-01,5.66E-03
NGC 7793,17.1,1,390,12,3520,170,3.91,0.43,1.21E+23,1.33E+22,,0.01,0.01,35.07,34.96,0.004,0.004,,,3.13E+37,7.12E+30,2.47E-04,5.63E-11,7.14E+38,1.58E+32,5.64E-03,1.25E-09,6.44E+39,1.45026E+33,5.09E-02,1.15E-08,1.17E+42,1.08E+40,3.88E-02,3.57E-04,2.20E+00,7.88E-04,8.37E-01,7.88E-04,-1.18E-01,7.88E-04,-1.10E-01,5.66E-03
